Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-01-11073,Park Tennis Court Renovations Programme,To decrease inactivity throughout the UK by renovating park tennis courts nationwide to an acceptable playing standard.,14200000.00,2022-04-01,2024-03-31,General Grant - Uncompeted,24,"Recreation, culture and religion",Charities Act 2006
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-01-11074,Skills for Care - revenue,"Skills for Care is the Departments primary delivery partner for employer-led adult social care workforce development and is responsible for delivering an extensive range of programmes on behalf of the Department, including: Improving recruitment and retention, including apprenticeships and care ambassadors; Maintenance and development of the National Minimum Dataset for Social Care (NMDS-SC) and Integration and workforce development, including dispersal of the Workforce Development Fund (WDF) and the Assessed and Supported Year in Employment (ASYE) scheme.",23000000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Care Standards Act 2000
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-01-11085,Tech Nation 22/23,"Business support is vital for companies survival and growth. The proposed funding aims to 
(1) address the under provision of support across regions and sectors;
(2) increase business and networking skills and promote knowledge sharing via an online growth platform;
(3) promote the UK tech sector via 5 reports and further insights

One year funding extension to Tech Nation as a transitional arrangement whilst DCMS is launching a grant competition in June 2022 for this funding to be competed for the following two financial years (FY23/24, FY24/25).",5905156.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,"Recreation, culture and religion",Industrial Development Act 1982
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-01-11089,Supporting Families (formerly Troubled Families),Expanded Supporting Families programme. A Department for Education sponsored HMT investment awarded to begin reduction of childrens social care (CSC) policy pressures,204131641.00,2022-04-01,2025-03-31,Formula Grant,36,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-01-11090,Levelling Up Parks Fund,To create new or significantly refurbished green spaces in urban areas that need it most,7140000.00,2022-04-01,2023-03-31,General Grant - Competed,12,General public services,Local Government Act 2003
Department for Education,Education and Skills Funding Agency,G2-SCH-2022-01-11091,Schools Supplementary Grant,To distribute the employers NICs cost of the Levy to LAs and Academies.,1195960844.85,2022-04-01,2023-03-31,Formula Grant,12,Education,Children and Families Act 2014
Ministry of Justice,Ministry of Justice,G2-SCH-2022-01-11093,Family court fees inflationary increases - New Burdens s31 Grant,"To provide a budget transfer to individual local authorities in recognition of the impacts on their 2021/22 budgets following inflationary fee increases we have made to family court fees which were introduced on 30 September 2021, following a New Burdens assessment.",1600000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,General public services,Local Government Act 2003
Department for Transport,Department for Transport,G2-SCH-2022-01-11097,Project Oval,"To expand contactless system to 233 rail stations by May 2024, Railcards coming to contactless payment cards",30737266.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Railways Act 2005
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-01-11114,"Social Care Institute for Excellence (SCIE) - Achieving Stability, Driving Improvement, Integrating Services","The grant is used to facilitate sector improvement, generally by improved awareness, knowledge, skills and experience of the workforce, and also specifically in areas including; safeguarding, strengths-based practice, mental capacity, prevention and dementia, all of which are key policy areas for DHSC.",1585123.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Charities Act 2006
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-01-11115,TLAP (hosted by  SCIE) 2022-23,"TLAP comprises of more than 50 partners from across the health and care sector. The partnership includes representation from central government, local government, and people with lived experience, carers, and national bodies, the voluntary, community and social enterprise sector.",708000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Charities Act 2006
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-01-11116,Skills For Care (Capital) 22/23,DHSC main delivery partner for Social Care Workforce development and focuses on four key themes: (1) recruitment & retention: (2) improving quaility of social care through prevention & wellbeing: (3) improving knowledge and skills of workforce (many self-employed) & registered managers: and (4)ensuring that future plans take account of sector experience through workforce intergration.,447467.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Care Standards Act 2000
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-01-11117,Care Provider Alliance (CPA),Care Provider Alliance (CPA) brings together eleven organisations representing an estimated 50% of independent and voluntary adult social care providers in England. An umbrella organisation for Adult Social care providers the CPA works at a strategic level to engage the sector and support delivery and implementation of DHSC priority policy areas.,100000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Charities Act 2006
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-01-11124,Future Homes Hub Defra Contribution,"To support the Future Homes Hub - an industry-led initiative that will support housebuilders in England to deliver net zero and the broader environmental objectives being introduced through national policy, including planning reforms and the Environment Bill. Defra want to contribute £50,000 to the Hub to signal a cross-Government commitment to publicly engaging with housebuilders, whilst ensuring that Defra's objectives on placemaking and the wider environment are represented and reflected in their work, embedding an integrated approach to environment in the development process.
Second Year Grant The Future Homes Hub is directly supporting delivery of Defra policy on biodiversity net gain, water efficiency and proposes to convene further work on nutrient neutrality.",68000.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Environmental protection,Natural Environment and Rural Communities Act 2006
Ministry of Defence,The Armed Forces Covenant Fund Trust,G2-SCH-2022-02-11126,Armed Forces Families Fund (AF3),The scheme will shape the policy agenda for Armed Forces families for the foreseeable future. The supporting Action Plan will combine existing policies and programmes with new initiatives to create the conditions where Service personnel can have fulfilling careers alongside thriving family lives.  This scheme was set up to combine both the Education Support Fund (ESF) and the Early Learning & Childcare Fund (ELCF).,3552000.00,2022-04-01,2032-03-31,General Grant - Competed,120,Education,Appropriation Act
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-02-11128,NCF: Increasing Peatland Code Capacity and Delivery,"This grant aims to increase the capacity of the team who deliver the Peatland Code at the IUCN UK Peatland Programme. The Peatland Code forms a key pillar of Defra's strategy to increase peatland restoration via private and blended finance. Increasing the capacity of the Peatland Code will unblock barriers to delivering, expanding and improving the Code, leveraging private finance into peatland restoration and therefore saving Exchequer funding in meeting our restoration targets.",50000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Environmental protection,Natural Environment and Rural Communities Act 2006
Home Office,Home Office,G2-SCH-2022-02-11134,The Safer Streets Fund,"The Safer Streets Fund is a Home Office fund that allows police, local authorities and civil society organisations to invest in crime prevention initiatives across England and Wales. It was first launched in 2020 and was originally designed to tackle acquisitive crime (AC) in hotspot areas but has since expanded its remit.",50000000.00,2022-04-01,2025-03-31,General Grant - Competed,36,Public order and safety,Criminal Justice and Public Order Act 1994
Department for Education,Department for Education,G2-SCH-2022-02-11135,Supported Internships,"National Development Team for Inclusion (NDTi) will administer and monitor grants to Local Authorities to ensure all Local Authorities either have access to, establish, or develop SEND Employment Forums. Through a contract with DfE, NDTi will provide support to Local Authorities to improve their Supported Internship provision, amongst other activities.",1768587.98,2022-04-01,2025-03-31,General Grant - Competed,36,Education,Education Act 2002
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-02-11147,Support for Energy Bills: Council Tax Rebate Scheme,Helping to meet rising energy costs through council tax rebate scheme,28047020.00,2021-04-01,2023-03-31,Formula Grant,24,General public services,Local Government Act 2003
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-02-11150,Doubling Of Small Business Rates,Relief is given to all businesses with tapering of the relief for businesses,987697909.00,2020-04-01,2024-03-31,Formula Grant,48,General public services,Local Government Act 2003
Home Office,Home Office,G2-SCH-2022-02-11155,YEF Co-funded Agency Collaboration Round- Focussed Deterrence,"The Home Office will provide a £3 million over 3 years via direct grant to the Youth Endowment Fund (YEF) to support its grant round on Focused Deterrence (Agency Collaboration Fund: Another Chance). 

The Youth Endowment Fund was set up to improve our understanding of what works to reduce serious youth violence. As part of its place-based grant rounds, the YEF is running an Agency Collaboration Fund to understand if, how, and when effective collaboration between (principally statutory) agencies can prevent children and young people from becoming involved in violence. Focused Deterrence is the YEFs first Agency Collaboration Fund grant round. This grant round will test if and how the approach works when there is effective collaboration between agencies.

Focused deterrence is a strategy combining consequences of violence with support for developing positive routes away from it. The YEF rates the intervention as having a high-quality evidence base and high impact on violent crime, although most of the data supporting YEFs assessment is drawn from the USA.",500000.00,2022-04-01,2024-03-31,General Grant - Uncompeted,24,Public order and safety,Criminal Justice and Public Order Act 1994
Home Office,Home Office,G2-SCH-2022-02-11156,YEF Trauma-Informed Co-Funded Grant Round,"This grant is intended to ensure that the evidence base behind trauma-informed practice is significantly enhanced. The YEF added trauma-informed practice (TI) to their Toolkit in December 2021, however it received an evidence rating of 0 as there were insufficient numbers of robust studies, systematic reviews or meta-analyses. The purpose if this scheme is to deliver a targeted TI grant round, co-funded by the YEF to fund up to 3 large-scale multi-year TI programmes (until 31 March 2025). The projects will be designed specifically to support enhanced evaluation up to randomised control trial standard to establish their impact and effectiveness at reducing youth violence and other relevant secondary outcomes.",150000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Public order and safety,Criminal Justice and Public Order Act 1994
Home Office,Home Office,G2-SCH-2022-02-11162,Home Office Police and Public Protection Technology NLEDP Programe Adoption Support,"The grant is intended to reimburse Police Forces for  financial pressure resulting from the participation and  change activities required to take the National Law Enforcement Data Service through the NLEDP adoption roadmap. Early police support is key to programme delivery and decommissioning PNC, aligned to the programme plan and business case for transition from PNC to LEDS.",6264404.00,2022-04-01,2024-03-31,General Grant - Uncompeted,24,Public order and safety,Police Act 1996
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-02-11163,ODA Marine - BPF Friends of Ocean Action,"Friends of Ocean Action (FOA), convened by the World Economic Forum, is a coalition of ocean leaders who are fast-tracking solutions to the most pressing challenges facing the ocean. Co-chaired by Peter Thomson, the UN Secretary Generals Special Envoy for the Ocean, and Isabella Lövin, Deputy Prime Minister of Sweden, the FOA has members across business, civil society, international organisations, science and technology. Their mission is to harness the knowledge, means and influence of their members to help the international community take the urgent steps needed to conserve and sustainably use our ocean, seas and marine resources for sustainable development (SDG 14",1948242.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Foreign aid,International Development (Official Development Assistance Target) Act 2015
Home Office,Home Office,G2-SCH-2022-02-11165,NPOCC: National Development Team Grant,"The lack of a coordinated investigative and tasking capability for the protest threat has been identified and is highlighted in the HMICFRS report on the matter. We are seeking to provide funding for an investigative and tasking group. This gap could be filled with a new National Development team, whom would receive the funding.",379675.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,General public services,Criminal Justice and Public Order Act 1994
Home Office,Home Office,G2-SCH-2022-02-11166,VAWG By and For Specialist Services Fund,"The overall aim of the fund is to support victims and survivors who have additional vulnerabilities and/or barriers to support, by ensuring they have access to quality, tailored specialist services appropriate to their needs.",1257912.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-02-11172,New Entrant Support Scheme (Pilot),"The project will fund 5-6 pilots to inform the overarching New Entrants Support Scheme by providing evidence on the best means of supporting a target group of new entrants to develop innovative land-based business models that deliver both public and private benefits with increased productivity, resilience, and customer focus. The pilots will generate evidence for Defra to decide how government could best design new entrant support in the future.",1000000.00,2022-04-01,2023-03-31,General Grant - Competed,12,Environmental protection,Agriculture Act 2020
Department of Health and Social Care,NHS England,G2-SCH-2022-02-11173,Tobacco dependence treatment clinical implementation support,The BTS will provide a sustainable and impartial mechanism for improving smoking cessation by supporting people in contact with NHS services. It will be complimentary to the delivery of the NHSEI funded transformation project to offer NHS-funded tobacco dependence treatment.,40000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,Health,NHS Act 2006
"Department for Environment, Food and Rural Affairs",Forestry Commission,G2-SCH-2022-02-11175,Tree Production Capital Grant,To provide capital grant support to tree producers and seed suppliers.,1537410.82,2022-04-01,2025-03-31,General Grant - Competed,36,Environmental protection,Forestry Act 1979
Home Office,Home Office,G2-SCH-2022-03-11189,What Works Funding: A Supportive Home,"To establish a consistent, high quality and accessible source of knowledge on reducing VAWG by undertaking well developed projects targeted to breaking cycles of violence; followed by an independent, robust evaluation including longitudinal studies",573396.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
Home Office,Home Office,G2-SCH-2022-03-11195,DA Interventions in Healthcare,"Evidence suggests that 80% of women experiencing domestic abuse seek help from health services and these are often their first, or only, point of contact, with general practice often being an access point for many survivors. This is why we aim to invest £2.5m per annum for spending period FY22/23  FY24/25 on domestic abuse interventions within healthcare settings. This will aim to: (1) upskill healthcare professionals, so they have greater capability to identify and support victims and survivors of domestic abuse; (2) create further avenues for victims to disclose their experience of abuse and seek for help and (3) improve partnership working between healthcare and specialist support services. This will support the Violence Against Women and Girls' Strategy and will also form a key commitment in the forthcoming Domestic Abuse Plan.",2500000.00,2022-04-01,2024-03-31,General Grant - Competed,24,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-03-11198,MULTI-SPORT GRASSROOTS FACILITIES PROGRAMME 22-25,"To increase participation in sport across the UK, improving the mental and physical health of participants.",4000000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",UK Internal Markets Act 2020
"Department for Environment, Food and Rural Affairs",Natural England,G2-SCH-2022-03-11199,England coast path planning grants 2022 Onward,Grants awarded to enable planning activities in relation to Natural England's statutory duty to establish the England Coast Path. Strategy approved until project completion depending on approval of annual funding.,697005.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Marine and Coastal Access Act 2009
"Department for Environment, Food and Rural Affairs",Natural England,G2-SCH-2022-03-11206,National trails and King Charles111 ECP Maintenance 2022-2025,funding awarded under agreed formula to National Trail Lead Partners to enable maintenance of the National Trail network to the agreed standard.,2782918.10,2022-04-01,2025-03-31,Formula Grant,36,"Recreation, culture and religion",Natural Environment and Rural Communities Act 2006
Department of Health and Social Care,Department of Health and Social Care,G2-SCH-2022-03-11207,Better Care Better Security,"Through the Better Security Better Care programme, activities from this spending will maintain and strengthen data protection standards, cyber security and resilience in ASC. This is in line with and required by policy objectives for cyber security and wider digitisation that the Government has publicly committed to.",3788542.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,Health,Health and Social Care Act 2008
Home Office,Home Office,G2-SCH-2022-03-11209,VAWG: Breaking Cycles of Violence and Supporting Children Affected,"The purpose of this grant is to bring together work undertaken to prevent and support victims of Violence Against Women and Girls (VAWG) specifically workstrands supporting children affected by domestic abuse (CADA) and 'what works' funding (WWF.)   CADA workstrands aim to both support the children as victims and, in doing so, break cycles of violence.  'What works' funding is precisely that, to understand what works to prevent VAWG.  Given the focus of both of this is prevention, most often in the early years space, the unit will compete them together to avoid duplication and look for opportunities to 'force maximise' (i.e. be greater than the sum of it's parts).",4489604.00,2022-04-01,2025-03-31,General Grant - Competed,36,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
"Department for Environment, Food and Rural Affairs",Forestry Commission,G2-SCH-2022-03-11211,NCF Woodland Creation Accelerator fund,To award and distribute a total of £7.78M RDEL over FY 22/23 and 23/24 in a manner that will help deliver the Investment Objectives and Associated Outcome Benefits outlined in the NCF Programme Business Case. To accelerate the progress made by Local Authorities to plant trees and woodlands in winter seasons 23/24 and 24/25.,4779098.50,2022-04-01,2024-03-31,General Grant - Competed,24,Environmental protection,Local Government Act 2003
"Department for Environment, Food and Rural Affairs",Environment Agency,G2-SCH-2022-03-11214,Landscape Recovery Project Development Phase - Water Quality Projects,"The Authority is looking to award grants for Landscape Recovery. The goal of the 
Landscape Recovery scheme is to enhance landscapes and support ecosystem 
recovery through long-term, large-scale, land use change and habitat restoration 
projects",289889.00,2022-04-01,2025-03-31,General Grant - Competed,36,Environmental protection,Agriculture Act 2020
"Department for Environment, Food and Rural Affairs",Natural England,G2-SCH-2022-03-11217,Landscape Recovery Project Development Phase - Species Recovery Projects,"The Authority is looking to award grants for Landscape Recovery. The goal of the 
Landscape Recovery scheme is to enhance landscapes and support ecosystem 
recovery through long-term, large-scale, land use change and habitat restoration 
projects. it focuses on recovering and restoring Englands threatened native species.",521771.83,2022-04-01,2025-03-31,General Grant - Competed,36,Environmental protection,Agriculture Act 2020
Home Office,Home Office,G2-SCH-2022-03-11218,NPCC: Digital Crime and Performance Pack support,"The grant purpose is to support HMICFRSs development of the Digital Crime and Performance Pack (DCPP) by building on the analysis and insight capability of the NPCC. HMICFRS have been allocated £450,513 to produce, and maintain, the DCPP which is an interactive, digital tool that policing partners (including forces and Police and Crime Commissioners) can use to understand national and force-level performance. The DCPP is a single version of police data that equips policing partners with a tool to effectively drive down the priority crime types outlined in the National Crime and Policing Measures. To support this, the NPCC have been allocated £139,227 to provide resource to lead and manage relations with police forces in order to build the tool. These staff members will likely sit as part of the NPCC centre and will define, introduce, and maintain specific data collections relevant to the aims of the DCPP. Specifically, they will coordinate the production of analytical insight for the DCPP by drawing on the expertise and skills of the police and NPCC. This provision will drive the insights reflected in the DCPP.",139227.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Public order and safety,Police Act 1996
Department for International Trade,Department for International Trade,G2-SCH-2022-03-11219,Northern Powerhouse Key Account Management Programme,NPH KAM Programme - A grant funded programme to support Local Enterprise Partnerships across the North in having the tools and resources to strategically account existing foreign investors to generate expansions and reinvestment.,962958.39,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Economics affairs,International Development Act 2002
